origin,destination,mode,distance_km,contracted_volume,materialized_volume,carrier,risk_score
Delhi,Mumbai,road,1400,120,82,NorthStar Logistics,86
Delhi,Pune,road,1450,110,78,NorthStar Logistics,79
Delhi,Jaipur,road,280,90,74,RapidHaul,48
Delhi,Lucknow,road,555,75,71,RapidHaul,36
Mumbai,Pune,road,150,95,88,WestLine Transport,29
Mumbai,Ahmedabad,road,525,100,64,WestLine Transport,72
Mumbai,Bengaluru,road,980,105,61,SouthLink Freight,77
Mumbai,Chennai,road,1330,85,52,SouthLink Freight,81
Pune,Bengaluru,road,840,92,76,SouthLink Freight,44
Pune,Hyderabad,road,560,80,58,Deccan Cargo,68
Bengaluru,Chennai,road,350,115,104,SouthLink Freight,22
Bengaluru,Hyderabad,road,570,100,79,Deccan Cargo,51
Chennai,Hyderabad,road,630,88,67,Deccan Cargo,58
Chennai,Kolkata,road,1660,70,39,EastBridge Logistics,83
Kolkata,Delhi,road,1530,125,74,EastBridge Logistics,81
Kolkata,Guwahati,road,1000,80,68,NorthEast Cargo,42
Ahmedabad,Delhi,road,950,105,83,Western Route Co,47
Ahmedabad,Jaipur,road,650,65,59,Western Route Co,31
Ahmedabad,Mumbai,road,525,90,72,WestLine Transport,55
Jaipur,Lucknow,road,570,72,51,RapidHaul,66
Lucknow,Kolkata,road,1000,68,42,EastBridge Logistics,75
Hyderabad,Chennai,road,630,96,81,Deccan Cargo,39
Hyderabad,Bengaluru,road,570,102,84,SouthLink Freight,35
Guwahati,Kolkata,road,1000,58,47,NorthEast Cargo,45
