shipment_id,origin,destination,carrier,shipment_date,volume,status
S-2001,Chandigarh,Delhi,NorthStar Logistics,2026-08-01,180,delivered
S-2002,Chandigarh,Delhi,RapidHaul,2026-08-02,140,delivered
S-2003,Chandigarh,Delhi,NorthStar Logistics,2026-08-04,160,delivered
S-2004,Chandigarh,Delhi,RapidHaul,2026-08-07,120,delivered
S-2005,Ludhiana,Jaipur,NorthStar Logistics,2026-08-03,95,delivered
S-2006,Ludhiana,Jaipur,NorthStar Logistics,2026-08-06,110,delivered
S-2007,Ludhiana,Jaipur,NorthStar Logistics,2026-08-10,85,delivered
S-2008,Mohali,Delhi,BlueRoute Transport,2026-08-02,130,delivered
S-2009,Mohali,Delhi,BlueRoute Transport,2026-08-08,125,delivered
S-2010,Delhi,Lucknow,RapidHaul,2026-08-05,150,delivered
S-2011,Delhi,Lucknow,RapidHaul,2026-08-11,135,delivered
S-2012,Delhi,Lucknow,RapidHaul,2026-08-14,120,cancelled
